,Date,Week,SameDiv,SameConf,GameID,Team_V,Team_H,Final_V,Final_H,ML_V,ML_H,Injuries_V,Injuries_H,Division_V,Division_H,Conference_V,Conference_H,Szn_Win_per_V,Szn_Win_per_H,UD_tot_V,UD_tot_H,FV_tot_V,FV_tot_H,UD_win_per_V,UD_win_per_H,FV_win_per_V,FV_win_per_H,prev_win_rec_V,prev_win_rec_H,prev_loss_rec_V,prev_loss_rec_H,HC_win_per_V,HC_win_per_H,HC_g_V,HC_g_H,Prev_szn_win_per_V,Prev_szn_win_per_H,Off_Bye_Wk_V,Off_Bye_Wk_H,Winner
1,9/6/2018,1,N,Y,1,Atlanta,Philadelphia,12,18,-119,-101,8,6,NFCSouth,NFCEast,NFC,NFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.522,0.539,69,89,0.625,0.813,N,N,H
2,9/9/2018,1,Y,Y,2,Pittsburgh,Cleveland,21,21,-185,155,1,9,AFCNorth,AFCNorth,AFC,AFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.635,0.188,249,48,0.813,0,N,N,Tie
3,9/9/2018,1,N,Y,3,SanFrancisco,Minnesota,16,24,230,-280,5,8,NFCWest,NFCNorth,NFC,NFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.589,0.566,265,113,0.375,0.813,N,N,H
4,9/9/2018,1,N,Y,4,Cincinnati,Indianapolis,34,23,-115,-105,7,7,AFCNorth,AFCSouth,AFC,AFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.521,0.477,240,65,0.438,0.25,N,N,V
5,9/9/2018,1,N,Y,5,Buffalo,Baltimore,3,47,290,-380,3,4,AFCEast,AFCNorth,AFC,AFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.685,0.611,89,234,0.563,0.563,N,N,H
6,9/9/2018,1,N,N,6,Jacksonville,NYGiants,20,15,-145,125,5,3,AFCSouth,NFCEast,AFC,NFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.402,0.286,82,49,0.625,0.188,N,N,V
7,9/9/2018,1,Y,Y,7,TampaBay,NewOrleans,48,40,400,-550,7,2,NFCSouth,NFCSouth,NFC,NFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.438,0.654,32,442,0.313,0.688,N,N,V
8,9/9/2018,1,N,Y,8,Houston,NewEngland,20,27,225,-275,8,6,AFCSouth,AFCEast,AFC,AFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.488,0.609,84,233,0.25,0.813,N,N,H
9,9/9/2018,1,N,Y,9,Tennessee,Miami,20,27,-110,-110,5,7,AFCSouth,AFCEast,AFC,AFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.575,0.391,73,64,0.563,0.375,N,N,H
10,9/9/2018,1,Y,Y,10,KansasCity,LAChargers,38,28,160,-190,5,3,AFCWest,AFCWest,AFC,AFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.638,0.429,378,49,0.625,0.563,N,N,V
11,9/9/2018,1,N,N,11,Seattle,Denver,24,27,160,-190,11,8,NFCWest,AFCWest,NFC,AFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.589,0.313,90,16,0.563,0.313,N,N,H
12,9/9/2018,1,N,Y,12,Dallas,Carolina,8,16,145,-170,6,6,NFCEast,NFCSouth,NFC,NFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.551,0.516,136,182,0.563,0.688,N,N,H
13,9/9/2018,1,N,Y,13,Washington,Arizona,24,6,115,-135,6,7,NFCEast,NFCWest,NFC,NFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.406,0.5,69,12,0.438,0.5,N,N,V
14,9/9/2018,1,Y,Y,14,Chicago,GreenBay,23,24,250,-310,3,4,NFCNorth,NFCNorth,NFC,NFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.449,0.627,49,249,0.313,0.438,N,N,H
15,9/10/2018,1,N,N,15,NYJets,Detroit,48,17,280,-360,13,2,AFCEast,NFCNorth,AFC,NFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.44,0.259,75,27,0.313,0.563,N,N,V
16,9/10/2018,1,N,N,16,LARams,Oakland,33,13,-300,240,2,6,NFCWest,AFCWest,NFC,AFC,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.556,0.531,90,213,0.688,0.375,N,N,V
17,9/13/2018,2,Y,Y,17,Baltimore,Cincinnati,23,34,-120,100,5,9,AFCNorth,AFCNorth,AFC,AFC,1,1,0,0,1,1,0.5,0.5,1,1,1,1,0,0,0.612766,0.522822,235,241,0.563,0.438,N,N,H
18,9/16/2018,2,N,N,18,Indianapolis,Washington,21,9,210,-260,8,7,AFCSouth,NFCEast,AFC,NFC,0,1,1,1,0,0,0,1,0.5,0.5,0,1,1,0,0.469697,0.414286,66,70,0.25,0.438,N,N,V
19,9/16/2018,2,Y,Y,19,Carolina,Atlanta,24,31,190,-240,9,11,NFCSouth,NFCSouth,NFC,NFC,1,0,0,0,1,1,0.5,0.5,1,0,1,0,0,1,0.519126,0.514286,183,70,0.688,0.625,N,N,H
20,9/16/2018,2,Y,Y,20,Minnesota,GreenBay,29,29,-125,105,5,4,NFCNorth,NFCNorth,NFC,NFC,1,1,0,0,1,1,0.5,0.5,1,1,1,1,0,0,0.570175,0.628,114,250,0.813,0.438,N,N,Tie
21,9/16/2018,2,N,Y,21,LAChargers,Buffalo,31,20,-360,280,5,7,AFCWest,AFCEast,AFC,AFC,0,0,0,1,1,0,0.5,0,0,0.5,0,0,1,1,0.42,0.677778,50,90,0.563,0.563,N,N,V
22,9/16/2018,2,Y,Y,22,Houston,Tennessee,17,20,-200,170,9,12,AFCSouth,AFCSouth,AFC,AFC,0,0,1,0,0,0,0,0.5,0.5,0.5,0,0,1,1,0.482353,0.567568,85,74,0.25,0.563,N,N,H
23,9/16/2018,2,N,Y,23,KansasCity,Pittsburgh,42,37,180,-220,7,7,AFCWest,AFCNorth,AFC,AFC,1,0,1,0,0,1,1,0.5,0.5,0,1,0,0,1,0.638522,0.632,379,250,0.625,0.813,N,N,V
24,9/16/2018,2,Y,Y,24,Miami,NYJets,20,12,145,-170,8,13,AFCEast,AFCEast,AFC,AFC,1,1,0,1,0,0,0.5,1,0.5,0.5,1,1,0,0,0.4,0.447368,65,76,0.375,0.313,N,N,V
25,9/16/2018,2,N,Y,25,Philadelphia,TampaBay,21,27,-160,140,4,6,NFCEast,NFCSouth,NFC,NFC,1,1,1,1,0,0,1,1,0.5,0.5,1,1,0,0,0.544444,0.454545,90,33,0.813,0.313,N,N,H
